"SubjectId" "Activity" "BodyAccJerkMean" "BodyGyroMean" "BodyGyroJerkMean"
1 "WALKING" -0.465662766294737 0.0604537474147368 -0.00793037848421052
1 "WALKING_UPSTAIRS" -0.759059773773585 0.0960860761792453 -0.0610838413018868
1 "WALKING_DOWNSTAIRS" -0.770579633469388 -0.00269512515918367 0.0899316865510204
1 "SITTING" -0.687252815361702 0.0274415479191489 0.0297097878297872
1 "STANDING" -0.713267120075472 -0.000222340747169812 0.021963782690566
1 "LAYING" -0.7073142879 0.0213659655642 0.00306040735
2 "WALKING" -0.369364396013559 -0.0301017378813559 0.0534005800847458
2 "WALKING_UPSTAIRS" -0.639889580208333 0.0946511080666667 -0.00775466904166667
2 "WALKING_DOWNSTAIRS" -0.418023853638298 -0.0243291092914894 -0.00637550521276596
2 "SITTING" -0.66078814 0.0395284311165435 -0.00339286689565217
2 "STANDING" -0.668367078888889 -0.013681915312963 0.0411822244577778
2 "LAYING" -0.751344414333333 0.005791809625 -0.00635557646875
3 "WALKING" 0.00634895244827586 0.0527502832051724 -0.0763020648793103
3 "WALKING_UPSTAIRS" -0.567095188474576 0.0134885571016949 0.115176801183051
3 "WALKING_DOWNSTAIRS" -0.64129292055102 -0.0475794238163265 -0.0108494994238776
3 "SITTING" -0.593256324038462 0.0327172863134615 0.00407829679403846
3 "STANDING" -0.592754995016393 0.00772770563770492 0.0246545250622951
3 "LAYING" -0.632643019064516 0.0178959376270161 0.0166479534356452
4 "WALKING" -0.42036685765 -0.0120097781333333 0.00092110448333333
4 "WALKING_UPSTAIRS" -0.775350798076923 0.0592051541692308 -0.00506236538461539
4 "WALKING_DOWNSTAIRS" -0.717450713111111 0.000633759377777773 -0.0525297218666667
4 "SITTING" -0.553099875 -0.010753474716 -0.0075990574098
4 "STANDING" -0.680351666910714 0.0147312363133929 0.0045729088625
4 "LAYING" -0.636794217277778 -0.00235775253703703 -0.0155037568068519
5 "WALKING" -0.0119107234733929 -0.0322868203928571 -0.0117215775714286
5 "WALKING_UPSTAIRS" -0.360323704446809 -0.0204224405851064 -0.0772287023617021
5 "WALKING_DOWNSTAIRS" -0.584921956170213 -0.0397384617021277 -0.0414008516170213
5 "SITTING" -0.585645881488636 0.0287036466522727 -0.0209532538863636
5 "STANDING" -0.589175440178571 -0.00860856932142857 -0.00572224394107143
5 "LAYING" -0.634819455192308 0.0212091926730769 0.0553647963480769
6 "WALKING" -0.64144392631579 -0.0680347059298246 0.00559532819298245
6 "WALKING_UPSTAIRS" -0.3222241037 0.00864138094705883 0.00321117401960784
6 "WALKING_DOWNSTAIRS" -0.574192402291667 -0.0453085168958333 -0.0358369679166667
6 "SITTING" -0.595824291563636 0.00232762371945455 -0.0238156430418182
6 "STANDING" -0.6010783469 0.0123494545684211 -0.00737862488596491
6 "LAYING" -0.651672410859649 0.0049894390845614 0.032217035422807
7 "WALKING" -0.475835330035088 -0.0236143875614035 -0.00538084219298246
7 "WALKING_UPSTAIRS" -0.634026781176471 0.0175799693921569 0.0140026345745098
7 "WALKING_DOWNSTAIRS" -0.668128837021277 -0.0386153597021277 -0.0307260213404255
7 "SITTING" -0.642918248229167 0.01363659838625 -0.03875147675625
7 "STANDING" -0.666018433773585 0.0102468976660377 -0.0238336055150943
7 "LAYING" -0.549114123846154 0.0364477050365385 0.0199228239403846
8 "WALKING" -0.737139380625 0.0738615334791667 -0.0331417690625
8 "WALKING_UPSTAIRS" -0.796998272926829 0.0767267882926829 -0.0979335780731707
8 "WALKING_DOWNSTAIRS" -0.680289919736842 -0.0143680611052632 -0.119465358184211
8 "SITTING" -0.737254104913043 0.0119896311543478 -0.0175702777717391
8 "STANDING" -0.720306096111111 0.0258949006127778 -0.00820462124444444
8 "LAYING" -0.769682807462963 -0.0244904310703704 -0.0219448739555556
9 "WALKING" -0.169284699697885 -0.0259657901346154 0.0623476589538462
